Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,WorkHoursPerWeek,AnnualBonus
Bachelors,2017,Bangalore,3,34.0,Male,No,0,0,41.23620356542087,17736.47029938014
Bachelors,2013,Pune,1,28.0,Female,No,3,1,58.52142919229749,10750.957115873884
Bachelors,2014,New Delhi,3,38.0,Female,No,2,0,51.95981825434215,7524.178827615692
Masters,2016,Bangalore,3,27.0,Male,No,5,1,47.959754525911094,17546.632887048047
Masters,2017,Pune,3,24.0,Male,Yes,2,1,34.6805592132731,13233.644474601075
Bachelors,2016,Bangalore,3,22.0,Male,No,0,0,34.67983561008608,7837.936885855323
Bachelors,2015,New Delhi,3,38.0,Male,No,0,0,31.742508365045985,15805.759978796686
Bachelors,2016,Bangalore,3,34.0,Female,No,2,1,55.98528437324806,12666.704577342509
Bachelors,2016,Pune,3,,Male,No,1,0,48.03345035229626,14064.694733604798
Masters,2017,New Delhi,2,37.0,Male,No,2,0,51.242177333881365,11913.475073098729
Masters,2012,Bangalore,3,27.0,Male,No,5,1,30.617534828874074,17430.634757270098
Bachelors,2016,Pune,3,34.0,Male,No,3,0,59.097295564859834,17443.44073524575
Bachelors,2018,Pune,3,,Male,Yes,5,1,54.97327922401266,15640.832327365793
Bachelors,2016,Bangalore,3,39.0,Male,No,2,0,36.370173320348286,6581.020660946934
Bachelors,2012,Bangalore,3,37.0,Male,No,4,0,35.454749016213015,17582.807928561033
Bachelors,2017,Bangalore,1,29.0,Male,No,3,0,35.50213529560301,15065.194707993647
Bachelors,2014,Bangalore,3,34.0,Female,No,2,0,39.12726728878613,15455.362490064492
Bachelors,2014,Pune,3,34.0,Male,No,4,0,45.74269294896713,10444.742606058075
Bachelors,2015,Pune,2,30.0,Female,No,0,1,42.95835055926347,18189.1933423551
Bachelors,2016,New Delhi,2,22.0,Female,No,0,1,38.736874205941255,15880.574003522863
Bachelors,2012,Bangalore,3,37.0,Male,No,0,0,48.35558684167138,6688.856997937917
Masters,2017,New Delhi,2,28.0,Male,No,4,0,34.18481581956125,11116.67051609244
Bachelors,2017,New Delhi,2,36.0,Male,No,3,0,38.76433945605655,18295.705429402125
Bachelors,2015,Bangalore,3,,Male,Yes,5,0,40.99085529881075,5707.950525460685
Bachelors,2017,Bangalore,3,29.0,Male,No,4,0,43.68209952651108,19421.249294630743
